year,teryt_code,powiat,gmina,population,eligible_to_vote,turnout_%,turnout_ppl
2007,020101,bolesławiecki,"Bolesławiec, m.",41391,34041,39.09,13305
2007,020102,bolesławiecki,"Bolesławiec, gm.",12363,9391,31.63,2970
2007,020103,bolesławiecki,"Gromadka, gm.",5740,4341,34.09,1479
2007,020104,bolesławiecki,"Nowogrodziec, gm.",15014,11312,29.62,3349
2007,020105,bolesławiecki,"Osiecznica, gm.",6895,5077,29.74,1510
2007,020106,bolesławiecki,"Warta Bolesławiecka, gm.",7700,5992,32.41,1939
2007,020201,dzierżoniowski,"Bielawa, m.",32716,26760,35.18,9408
2007,020202,dzierżoniowski,"Dzierżoniów, m.",35958,29917,38.17,11417
2007,020203,dzierżoniowski,"Pieszyce, m.",9718,7866,34.55,2715
2007,020204,dzierżoniowski,"Piława Górna, m.",6870,5349,32.59,1743
2007,020205,dzierżoniowski,"Dzierżoniów, gm.",9591,7748,38.93,3016
2007,020206,dzierżoniowski,"Łagiewniki, gm.",7516,5942,34.67,2060
2007,020207,dzierżoniowski,"Niemcza, gm.",6228,4983,34.86,1737
2007,020301,głogowski,"Głogów, m.",71528,57694,39.80,22953
2007,020302,głogowski,"Głogów, gm.",5636,4134,34.76,1436
2007,020303,głogowski,"Jerzmanowa, gm.",3097,2343,34.91,818
2007,020304,głogowski,"Kotla, gm.",4137,3123,32.24,1007
2007,020305,głogowski,"Pęcław, gm.",2366,1765,33.77,596
2007,020306,głogowski,"Żukowice, gm.",3545,2712,28.65,777
2007,020401,górowski,"Góra, gm.",21441,16365,32.91,5381
2007,020402,górowski,"Jemielno, gm.",3256,2454,27.18,667
2007,020403,górowski,"Niechlów, gm.",5275,3911,32.19,1259
2007,020404,górowski,"Wąsosz, gm.",7652,5848,28.45,1663
2007,020501,jaworski,"Jawor, m.",25309,20248,38.66,7822
2007,020502,jaworski,"Bolków, gm.",11291,9033,34.11,3081
2007,020503,jaworski,"Męcinka, gm.",4883,3774,27.72,1046
2007,020504,jaworski,"Mściwojów, gm.",4164,3269,38.94,1273
2007,020505,jaworski,"Paszowice, gm.",3916,3101,30.60,949
2007,020506,jaworski,"Wądroże Wielkie, gm.",4152,3214,28.10,903
2007,020601,jeleniogórski,"Karpacz, m.",5119,4496,35.65,1602
2007,020602,jeleniogórski,"Kowary, m.",12130,9980,33.29,3323
2007,020603,jeleniogórski,"Piechowice, m.",6734,5448,36.38,1981
2007,020604,jeleniogórski,"Szklarska Poręba, m.",7248,6183,37.43,2313
2007,020605,jeleniogórski,"Janowice Wielkie, gm.",4228,3429,32.81,1125
2007,020606,jeleniogórski,"Jeżów Sudecki, gm.",6103,4835,35.55,1719
2007,020607,jeleniogórski,"Mysłakowice, gm.",10034,7995,36.36,2903
2007,020608,jeleniogórski,"Podgórzyn, gm.",7848,6442,32.97,2123
2007,020609,jeleniogórski,"Stara Kamienica, gm.",5190,4076,30.96,1262
2007,020701,kamiennogórski,"Kamienna Góra, m.",22391,18007,34.09,6138
2007,020702,kamiennogórski,"Kamienna Góra, gm.",8713,6618,34.22,2264
2007,020703,kamiennogórski,"Lubawka, gm.",12037,9563,31.48,3010
2007,020704,kamiennogórski,"Marciszów, gm.",4849,3778,32.56,1230
2007,020801,kłodzki,"Duszniki-Zdrój, m.",5289,4448,38.26,1702
2007,020802,kłodzki,"Kłodzko, m.",29308,25054,40.38,10115
2007,020803,kłodzki,"Kudowa-Zdrój, m.",10607,8683,37.37,3244
2007,020804,kłodzki,"Nowa Ruda, m.",25304,20759,32.82,6813
2007,020805,kłodzki,"Polanica-Zdrój, m.",6878,5835,39.45,2302
2007,020806,kłodzki,"Bystrzyca Kłodzka, gm.",20599,16732,36.03,6026
2007,020807,kłodzki,"Kłodzko, gm.",17341,13688,41.76,5715
2007,020808,kłodzki,"Lądek-Zdrój, gm.",9331,7587,35.14,2664
2007,020809,kłodzki,"Lewin Kłodzki, gm.",2032,1622,31.01,501
2007,020810,kłodzki,"Międzylesie, gm.",7906,6254,33.80,2114
2007,020811,kłodzki,"Nowa Ruda, gm.",12801,10170,30.64,3115
2007,020812,kłodzki,"Radków, gm.",9700,7577,33.48,2537
2007,020813,kłodzki,"Stronie Śląskie, gm.",7798,6138,33.79,2073
2007,020814,kłodzki,"Szczytna, gm.",7574,6031,33.92,2046
2007,020901,legnicki,"Chojnów, m.",14560,11689,33.46,3909
2007,020902,legnicki,"Chojnów, gm.",9380,7249,32.21,2335
2007,020903,legnicki,"Krotoszyce, gm.",3016,2321,35.85,832
2007,020904,legnicki,"Kunice, gm.",5041,3944,39.53,1558
2007,020905,legnicki,"Legnickie Pole, gm.",4931,3860,31.14,1202
2007,020906,legnicki,"Miłkowice, gm.",6184,4890,34.83,1703
2007,020907,legnicki,"Prochowice, gm.",7428,5831,40.01,2333
2007,020908,legnicki,"Ruja, gm.",2747,2134,32.33,690
2007,021001,lubański,"Lubań, m.",23279,19021,37.57,7146
2007,021002,lubański,"Świeradów-Zdrój, m.",4713,3885,36.50,1418
2007,021003,lubański,"Leśna, gm.",11029,8530,32.33,2758
2007,021004,lubański,"Lubań, gm.",6494,4985,31.88,1588
2007,021005,lubański,"Olszyna, gm.",6926,5471,34.71,1899
2007,021006,lubański,"Platerówka, gm.",1732,1310,39.69,520
2007,021007,lubański,"Siekierczyn, gm.",4561,4085,38.70,1581
2007,021101,lubiński,"Lubin, m.",78813,63724,40.11,25544
2007,021102,lubiński,"Lubin, gm.",10675,8293,34.13,2830
2007,021103,lubiński,"Rudna, gm.",7130,5477,38.87,2129
2007,021104,lubiński,"Ścinawa, gm.",10731,8397,33.81,2823
2007,021201,lwówecki,"Gryfów Śląski, gm.",10634,8392,33.97,2850
2007,021202,lwówecki,"Lubomierz, gm.",6277,4916,32.77,1610
2007,021203,lwówecki,"Lwówek Śląski, gm.",18433,14445,31.96,4614
2007,021204,lwówecki,"Mirsk, gm.",9343,7380,30.20,2229
2007,021205,lwówecki,"Wleń, gm.",4657,3772,33.38,1259
2007,021301,milicki,"Cieszków, gm.",4860,3656,35.53,1298
2007,021302,milicki,"Krośnice, gm.",8052,6249,31.65,1977
2007,021303,milicki,"Milicz, gm.",24450,19057,37.81,7201
2007,021401,oleśnicki,"Oleśnica, m.",36968,29895,38.91,11628
2007,021402,oleśnicki,"Bierutów, gm.",10590,8105,29.07,2355
2007,021403,oleśnicki,"Dobroszyce, gm.",5966,4585,30.10,1380
2007,021404,oleśnicki,"Dziadowa Kłoda, gm.",4584,3486,28.28,986
2007,021405,oleśnicki,"Międzybórz, gm.",5061,3795,28.06,1065
2007,021406,oleśnicki,"Oleśnica, gm.",11385,8564,27.42,2348
2007,021407,oleśnicki,"Syców, gm.",16432,12722,37.12,4723
2007,021408,oleśnicki,"Twardogóra, gm.",12996,10000,29.27,2927
2007,021501,oławski,"Oława, m.",31416,25457,40.89,10405
2007,021502,oławski,"Domaniów, gm.",5315,4053,34.30,1389
2007,021503,oławski,"Jelcz-Laskowice, gm.",21543,16968,35.89,6085
2007,021504,oławski,"Oława, gm.",13547,10275,35.35,3631
2007,021601,polkowicki,"Chocianów, gm.",12996,9916,41.20,4083
2007,021602,polkowicki,"Gaworzyce, gm.",3847,2906,45.01,1308
2007,021603,polkowicki,"Grębocice, gm.",5316,4039,30.90,1248
2007,021604,polkowicki,"Polkowice, gm.",26500,20007,35.62,7125
2007,021605,polkowicki,"Przemków, gm.",9129,7041,28.79,2027
2007,021606,polkowicki,"Radwanice, gm.",4379,3363,30.36,1021
2007,021701,strzeliński,"Borów, gm.",5392,4185,40.29,1685
2007,021702,strzeliński,"Kondratowice, gm.",4762,3744,36.00,1347
2007,021703,strzeliński,"Przeworno, gm.",5344,4174,33.68,1406
2007,021704,strzeliński,"Strzelin, gm.",22075,18375,36.12,6635
2007,021705,strzeliński,"Wiązów, gm.",7600,5906,30.38,1794
2007,021801,średzki,"Kostomłoty, gm.",7026,5481,29.65,1625
2007,021802,średzki,"Malczyce, gm.",6073,4699,28.96,1361
2007,021803,średzki,"Miękinia, gm.",11429,8894,31.53,2803
2007,021804,średzki,"Środa Śląska, gm.",19076,15198,31.32,4760
2007,021805,średzki,"Udanin, gm.",5644,4429,26.96,1193
2007,021901,świdnicki,"Świdnica, m.",61347,50237,40.16,20165
2007,021902,świdnicki,"Świebodzice, m.",23515,19128,34.07,6517
2007,021903,świdnicki,"Dobromierz, gm.",5504,4350,31.31,1362
2007,021904,świdnicki,"Jaworzyna Śląska, gm.",10435,8151,35.12,2863
2007,021905,świdnicki,"Marcinowice, gm.",6669,4999,32.59,1629
2007,021906,świdnicki,"Strzegom, gm.",27869,22064,33.88,7475
2007,021907,świdnicki,"Świdnica, gm.",15460,12222,32.47,3969
2007,021908,świdnicki,"Żarów, gm.",12534,9910,36.08,3575
2007,022001,trzebnicki,"Oborniki Śląskie, gm.",17553,14002,37.50,5244
2007,022002,trzebnicki,"Prusice, gm.",9380,7157,26.34,1885
2007,022003,trzebnicki,"Trzebnica, gm.",21816,17218,35.79,6158
2007,022004,trzebnicki,"Wisznia Mała, gm.",7801,6149,37.40,2300
2007,022005,trzebnicki,"Zawonia, gm.",5448,4162,26.62,1108
2007,022006,trzebnicki,"Żmigród, gm.",15151,11682,32.01,3735
2007,022101,wałbrzyski,"Boguszów-Gorce, m.",17500,13977,30.31,4237
2007,022102,wałbrzyski,"Jedlina-Zdrój, m.",5110,4218,34.23,1444
2007,022103,wałbrzyski,"Szczawno-Zdrój, m.",5800,4994,43.71,2183
2007,022104,wałbrzyski,"Czarny Bór, gm.",4872,3697,38.44,1421
2007,022105,wałbrzyski,"Głuszyca, gm.",9610,7686,30.93,2376
2007,022106,wałbrzyski,"Mieroszów, gm.",7462,6143,30.46,1871
2007,022107,wałbrzyski,"Stare Bogaczowice, gm.",4121,3289,34.57,1137
2007,022108,wałbrzyski,"Walim, gm.",5898,4701,31.10,1462
2007,022201,wołowski,"Brzeg Dolny, gm.",16426,13232,36.96,4889
2007,022202,wołowski,"Wińsko, gm.",8878,6887,29.33,2020
2007,022203,wołowski,"Wołów, gm.",22686,19450,36.07,7016
2007,022301,wrocławski,"Czernica, gm.",8313,6390,43.35,2767
2007,022302,wrocławski,"Długołęka, gm.",19407,14976,37.49,5609
2007,022303,wrocławski,"Jordanów Śląski, gm.",3025,2377,37.99,903
2007,022304,wrocławski,"Kąty Wrocławskie, gm.",17507,13888,36.37,5046
2007,022305,wrocławski,"Kobierzyce, gm.",12708,10057,36.60,3681
2007,022306,wrocławski,"Mietków, gm.",3869,3029,37.57,1138
2007,022307,wrocławski,"Sobótka, gm.",12295,9724,33.95,3300
2007,022308,wrocławski,"Siechnice, gm.",12828,10363,43.38,4495
2007,022309,wrocławski,"Żórawina, gm.",7906,6270,30.67,1923
2007,022401,ząbkowicki,"Bardo, gm.",5735,4514,36.58,1650
2007,022402,ząbkowicki,"Ciepłowody, gm.",3273,2538,28.53,724
2007,022403,ząbkowicki,"Kamieniec Ząbkowicki, gm.",8817,6888,35.02,2412
2007,022404,ząbkowicki,"Stoszowice, gm.",5730,4477,35.92,1607
2007,022405,ząbkowicki,"Ząbkowice Śląskie, gm.",23626,19000,38.72,7350
2007,022406,ząbkowicki,"Ziębice, gm.",18557,14908,32.30,4815
2007,022407,ząbkowicki,"Złoty Stok, gm.",5046,3965,37.48,1486
2007,022501,zgorzelecki,"Zawidów, m.",4560,3550,38.56,1369
2007,022502,zgorzelecki,"Zgorzelec, m.",33828,28020,39.27,10997
2007,022503,zgorzelecki,"Bogatynia, gm.",25771,20184,36.60,7387
2007,022504,zgorzelecki,"Pieńsk, gm.",9620,7428,29.75,2210
2007,022505,zgorzelecki,"Sulików, gm.",6117,4701,32.80,1539
2007,022506,zgorzelecki,"Węgliniec, gm.",9420,7217,33.34,2405
2007,022507,zgorzelecki,"Zgorzelec, gm.",7854,6093,31.82,1939
2007,022601,złotoryjski,"Wojcieszów, m.",3955,3201,28.33,907
2007,022602,złotoryjski,"Złotoryja, m.",16761,13771,36.72,5057
2007,022603,złotoryjski,"Pielgrzymka, gm.",4861,3680,31.41,1156
2007,022604,złotoryjski,"Świerzawa, gm.",8058,6296,31.43,1978
2007,022605,złotoryjski,"Zagrodno, gm.",5836,4505,37.34,1682
2007,022606,złotoryjski,"Złotoryja, gm.",7131,5494,31.98,1757
2007,026101,Jelenia Góra,"Jelenia Góra, m.",85602,71416,41.67,29711
2007,026201,Legnica,"Legnica, m.",103639,83413,40.15,33473
2007,026401,Wrocław,"Wrocław, m.",599037,508364,47.74,242436
2007,022109,Wałbrzych,"Wałbrzych, m.",127024,105092,35.17,36930
2007,040101,aleksandrowski,"Aleksandrów Kujawski, m.",12599,10184,33.75,3435
2007,040102,aleksandrowski,"Ciechocinek, m.",10952,9762,48.65,4741
2007,040103,aleksandrowski,"Nieszawa, m.",2045,1626,49.63,807
2007,040104,aleksandrowski,"Aleksandrów Kujawski, gm.",10852,8075,27.28,2202
2007,040105,aleksandrowski,"Bądkowo, gm.",4791,3709,38.23,1417
2007,040106,aleksandrowski,"Koneck, gm.",3527,2663,35.30,939
2007,040107,aleksandrowski,"Raciążek, gm.",3006,2317,34.87,808
2007,040108,aleksandrowski,"Waganiec, gm.",4612,3455,32.30,1115
2007,040109,aleksandrowski,"Zakrzewo, gm.",3918,2990,35.28,1054
2007,040201,brodnicki,"Brodnica, m.",27460,21580,39.37,8494
2007,040202,brodnicki,"Bobrowo, gm.",6532,4899,33.46,1638
2007,040203,brodnicki,"Brodnica, gm.",6576,4792,32.64,1563
2007,040204,brodnicki,"Brzozie, gm.",3778,2787,36.63,1021
2007,040205,brodnicki,"Górzno, gm.",4007,3016,39.79,1200
2007,040206,brodnicki,"Bartniczka, gm.",4735,3512,37.87,1329
2007,040207,brodnicki,"Jabłonowo Pomorskie, gm.",9562,7086,34.96,2477
2007,040208,brodnicki,"Osiek, gm.",4258,3178,31.50,1001
2007,040209,brodnicki,"Świedziebnia, gm.",5359,3878,39.87,1546
2007,040210,brodnicki,"Zbiczno, gm.",4618,3572,36.98,1321
2007,040301,bydgoski,"Białe Błota, gm.",12843,9765,38.13,3723
2007,040302,bydgoski,"Dąbrowa Chełmińska, gm.",7067,5272,29.93,1575
2007,040303,bydgoski,"Dobrcz, gm.",9193,6941,33.19,2302
2007,040304,bydgoski,"Koronowo, gm.",23254,18166,31.09,5648
2007,040305,bydgoski,"Nowa Wieś Wielka, gm.",7799,5939,29.84,1770
2007,040306,bydgoski,"Osielsko, gm.",7988,6094,43.67,2658
2007,040307,bydgoski,"Sicienko, gm.",8754,6805,34.30,2334
2007,040308,bydgoski,"Solec Kujawski, gm.",15918,12333,35.46,4371
2007,040401,chełmiński,"Chełmno, m.",20911,16639,34.65,5765
2007,040402,chełmiński,"Chełmno, gm.",5286,3879,25.86,1003
2007,040403,chełmiński,"Kijewo Królewskie, gm.",4431,3320,33.13,1100
2007,040404,chełmiński,"Lisewo, gm.",5346,4014,30.42,1221
2007,040405,chełmiński,"Papowo Biskupie, gm.",4488,3304,30.39,1004
2007,040406,chełmiński,"Stolno, gm.",5261,3851,26.93,1037
2007,040407,chełmiński,"Unisław, gm.",6721,5223,30.14,1573
2007,040501,golubsko-dobrzyński,"Golub-Dobrzyń, m.",12992,9944,36.66,3643
2007,040502,golubsko-dobrzyński,"Ciechocin, gm.",4053,2932,33.15,972
2007,040503,golubsko-dobrzyński,"Golub-Dobrzyń, gm.",8368,6252,29.22,1827
2007,040504,golubsko-dobrzyński,"Kowalewo Pomorskie, gm.",11490,8681,34.04,2954
2007,040505,golubsko-dobrzyński,"Radomin, gm.",4234,3146,32.01,1007
2007,040506,golubsko-dobrzyński,"Zbójno, gm.",4541,3366,31.76,1069
2007,040601,grudziądzki,"Grudziądz, gm.",10495,7913,29.52,2336
2007,040602,grudziądzki,"Gruta, gm.",6760,5080,29.72,1510
2007,040603,grudziądzki,"Łasin, gm.",8682,6544,32.63,2134
2007,040604,grudziądzki,"Radzyń Chełmiński, gm.",5072,3719,32.21,1198
2007,040605,grudziądzki,"Rogóźno, gm.",4159,3106,28.46,884
2007,040606,grudziądzki,"Świecie nad Osą, gm.",4664,3412,28.84,985
2007,040701,inowrocławski,"Inowrocław, m.",77497,63468,36.85,23368
2007,040702,inowrocławski,"Dąbrowa Biskupia, gm.",5338,4068,24.80,1009
2007,040703,inowrocławski,"Gniewkowo, gm.",14996,11599,29.13,3379
2007,040704,inowrocławski,"Inowrocław, gm.",11206,8567,28.70,2458
2007,040705,inowrocławski,"Janikowo, gm.",13883,10679,31.08,3319
2007,040706,inowrocławski,"Kruszwica, gm.",20554,16004,31.86,5099
2007,040707,inowrocławski,"Pakość, gm.",10175,7848,31.69,2487
2007,040708,inowrocławski,"Rojewo, gm.",4677,3503,32.40,1135
2007,040709,inowrocławski,"Złotniki Kujawskie, gm.",9072,6910,32.01,2211
2007,040801,lipnowski,"Lipno, m.",15091,11752,34.22,4022
2007,040802,lipnowski,"Bobrowniki, gm.",3181,2291,30.21,692
2007,040803,lipnowski,"Chrostkowo, gm.",3357,2436,28.41,692
2007,040804,lipnowski,"Dobrzyń nad Wisłą, gm.",8277,6244,30.86,1927
2007,040805,lipnowski,"Kikół, gm.",7517,5512,30.50,1681
2007,040806,lipnowski,"Lipno, gm.",11639,8539,25.62,2188
2007,040807,lipnowski,"Skępe, gm.",8020,5889,32.21,1897
2007,040808,lipnowski,"Tłuchowo, gm.",4805,3563,30.82,1098
2007,040809,lipnowski,"Wielgie, gm.",6934,5067,29.76,1508
2007,040901,mogileński,"Dąbrowa, gm.",4810,3605,30.74,1107
2007,040902,mogileński,"Jeziora Wielkie, gm.",5148,3891,28.73,1116
2007,040903,mogileński,"Mogilno, gm.",25212,19453,34.75,6757
2007,040904,mogileński,"Strzelno, gm.",12358,9603,33.23,3191
2007,041001,nakielski,"Kcynia, gm.",14125,10551,32.58,3436
2007,041002,nakielski,"Mrocza, gm.",9249,6828,32.95,2250
2007,041003,nakielski,"Nakło nad Notecią, gm.",32397,26379,35.58,9384
2007,041004,nakielski,"Sadki, gm.",7275,5392,36.41,1961
2007,041005,nakielski,"Szubin, gm.",22693,17270,33.92,5854
2007,041101,radziejowski,"Radziejów, m.",6157,5041,35.69,1799
2007,041102,radziejowski,"Bytoń, gm.",3919,3042,33.96,1033
2007,041103,radziejowski,"Dobre, gm.",5721,4445,32.42,1441
2007,041104,radziejowski,"Osięciny, gm.",8428,6559,30.40,1994
2007,041105,radziejowski,"Piotrków Kujawski, gm.",10025,7649,30.16,2306
2007,041106,radziejowski,"Radziejów, gm.",4525,3490,31.58,1102
2007,041107,radziejowski,"Topólka, gm.",5510,4118,34.75,1431
2007,041201,rypiński,"Rypin, m.",16849,13147,33.62,4418
2007,041202,rypiński,"Brzuze, gm.",5570,4223,31.33,1323
2007,041203,rypiński,"Rogowo, gm.",5062,3814,24.65,940
2007,041204,rypiński,"Rypin, gm.",7685,5709,23.73,1355
2007,041205,rypiński,"Skrwilno, gm.",6539,4895,29.83,1460
2007,041206,rypiński,"Wąpielsk, gm.",4419,3295,25.04,825
2007,041301,sępoleński,"Kamień Krajeński, gm.",7116,5280,31.08,1641
2007,041302,sępoleński,"Sępólno Krajeńskie, gm.",16226,12387,33.37,4129
2007,041303,sępoleński,"Sośno, gm.",5319,3955,33.55,1327
2007,041304,sępoleński,"Więcbork, gm.",13386,10193,34.93,3559
2007,041401,świecki,"Bukowiec, gm.",5127,3892,32.68,1272
2007,041402,świecki,"Dragacz, gm.",7035,5633,30.41,1713
2007,041403,świecki,"Drzycim, gm.",5131,3832,32.46,1244
2007,041404,świecki,"Jeżewo, gm.",7798,5896,32.80,1932
2007,041405,świecki,"Lniano, gm.",4165,3108,34.20,1063
2007,041406,świecki,"Nowe, gm.",11039,8599,29.63,2547
2007,041407,świecki,"Osie, gm.",5332,4020,32.39,1300
2007,041408,świecki,"Pruszcz, gm.",9485,7159,34.31,2456
2007,041409,świecki,"Świecie, gm.",33549,26898,33.84,9101
2007,041410,świecki,"Świekatowo, gm.",3559,2629,34.61,909
2007,041411,świecki,"Warlubie, gm.",6634,4997,29.34,1464
2007,041501,toruński,"Chełmża, m.",15294,11855,32.21,3817
2007,041502,toruński,"Chełmża, gm.",9590,7238,28.24,2044
2007,041503,toruński,"Czernikowo, gm.",8546,6305,24.79,1563
2007,041504,toruński,"Lubicz, gm.",15729,11864,33.90,4018
2007,041505,toruński,"Łubianka, gm.",5727,4201,36.16,1519
2007,041506,toruński,"Łysomice, gm.",8250,6191,28.49,1764
2007,041507,toruński,"Obrowo, gm.",9352,7018,32.79,2301
2007,041508,toruński,"Wielka Nieszawka, gm.",3833,2983,35.40,1055
2007,041509,toruński,"Zławieś Wielka, gm.",11037,8236,31.68,2607
2007,041601,tucholski,"Cekcyn, gm.",6546,4955,35.88,1778
2007,041602,tucholski,"Gostycyn, gm.",5407,4041,39.84,1607
2007,041603,tucholski,"Kęsowo, gm.",4532,3346,34.13,1141
2007,041604,tucholski,"Lubiewo, gm.",5764,4345,42.83,1861
2007,041605,tucholski,"Śliwice, gm.",5556,4160,38.85,1616
2007,041606,tucholski,"Tuchola, gm.",20014,15412,43.05,6631
2007,041701,wąbrzeski,"Wąbrzeźno, m.",14149,11212,34.71,3892
2007,041702,wąbrzeski,"Dębowa Łąka, gm.",3345,2439,32.14,783
2007,041703,wąbrzeski,"Książki, gm.",4490,3383,36.45,1233
2007,041704,wąbrzeski,"Płużnica, gm.",5188,3899,33.65,1309
2007,041705,wąbrzeski,"Wąbrzeźno, gm.",8790,6537,27.87,1822
2007,041801,włocławski,"Kowal, m.",3530,2746,43.01,1181
2007,041802,włocławski,"Baruchowo, gm.",3602,2776,28.10,779
2007,041803,włocławski,"Boniewo, gm.",3709,2847,30.42,866
2007,041804,włocławski,"Brześć Kujawski, gm.",11386,8873,29.48,2614
2007,041805,włocławski,"Choceń, gm.",8323,6420,26.67,1712
2007,041806,włocławski,"Chodecz, gm.",6625,5136,27.73,1424
2007,041807,włocławski,"Fabianki, gm.",8530,6461,27.44,1762
2007,041808,włocławski,"Izbica Kujawska, gm.",8215,6238,30.07,1876
2007,041809,włocławski,"Kowal, gm.",4205,3221,30.86,994
2007,041810,włocławski,"Lubanie, gm.",4741,3641,32.44,1181
2007,041811,włocławski,"Lubień Kujawski, gm.",7916,6110,33.16,2026
2007,041812,włocławski,"Lubraniec, gm.",10505,8106,39.91,3235
2007,041813,włocławski,"Włocławek, gm.",6620,5085,29.95,1522
2007,041901,żniński,"Barcin, gm.",15209,11770,31.51,3707
2007,041902,żniński,"Gąsawa, gm.",5278,4081,36.93,1507
2007,041903,żniński,"Janowiec Wielkopolski, gm.",9603,7496,32.68,2448
2007,041904,żniński,"Łabiszyn, gm.",9420,7083,31.44,2227
2007,041905,żniński,"Rogowo, gm.",7005,5329,38.53,2052
2007,041906,żniński,"Żnin, gm.",24824,19190,38.66,7417
2007,046101,Bydgoszcz,"Bydgoszcz, m.",360679,297074,44.29,131540
2007,046201,Grudziądz,"Grudziądz, m.",98900,80206,35.34,28319
2007,046301,Toruń,"Toruń, m.",198576,162616,43.60,70856
2007,046401,Włocławek,"Włocławek, m.",119600,97048,38.39,37245
2007,060101,bialski,"Międzyrzec Podlaski, m.",17908,13661,44.47,6070
2007,060102,bialski,"Terespol, m.",6117,4630,40.32,1866
2007,060103,bialski,"Biała Podlaska, gm.",12384,9047,38.24,3460
2007,060104,bialski,"Drelów, gm.",5818,4329,41.49,1794
2007,060105,bialski,"Janów Podlaski, gm.",5737,4417,37.20,1642
2007,060106,bialski,"Kodeń, gm.",4343,3371,39.99,1348
2007,060107,bialski,"Konstantynów, gm.",4293,3164,47.60,1504
2007,060108,bialski,"Leśna Podlaska, gm.",4588,3410,42.11,1436
2007,060109,bialski,"Łomazy, gm.",5668,4293,40.39,1733
2007,060110,bialski,"Międzyrzec Podlaski, gm.",10610,7705,43.35,3334
2007,060111,bialski,"Piszczac, gm.",7792,5814,33.54,1950
2007,060112,bialski,"Rokitno, gm.",3396,2639,38.42,1011
2007,060113,bialski,"Rossosz, gm.",2568,1923,39.42,757
2007,060114,bialski,"Sławatycze, gm.",2748,2172,43.05,935
2007,060115,bialski,"Sosnówka, gm.",2980,2360,37.50,885
2007,060116,bialski,"Terespol, gm.",7307,5581,36.61,2041
2007,060117,bialski,"Tuczna, gm.",3797,2946,33.81,992
2007,060118,bialski,"Wisznice, gm.",5525,4268,39.41,1678
2007,060119,bialski,"Zalesie, gm.",4665,3473,37.32,1296
2007,060201,biłgorajski,"Biłgoraj, m.",27124,21513,42.56,9152
2007,060202,biłgorajski,"Aleksandrów, gm.",3266,2398,43.74,1049
2007,060203,biłgorajski,"Biłgoraj, gm.",12698,9552,38.84,3710
2007,060204,biłgorajski,"Biszcza, gm.",4177,3122,44.14,1378
2007,060205,biłgorajski,"Frampol, gm.",6730,5205,37.00,1926
2007,060206,biłgorajski,"Goraj, gm.",4648,3586,38.43,1378
2007,060207,biłgorajski,"Józefów, gm.",7673,5863,35.60,2086
2007,060208,biłgorajski,"Księżpol, gm.",7028,5124,37.43,1916
2007,060209,biłgorajski,"Łukowa, gm.",4706,3464,44.43,1538
2007,060210,biłgorajski,"Obsza, gm.",4600,3443,43.65,1503
2007,060211,biłgorajski,"Potok Górny, gm.",5885,4410,38.75,1707
2007,060212,biłgorajski,"Tarnogród, gm.",7209,5537,43.40,2403
2007,060213,biłgorajski,"Tereszpol, gm.",4156,3118,33.07,1030
2007,060214,biłgorajski,"Turobin, gm.",7396,5983,40.85,2444
2007,060301,chełmski,"Rejowiec Fabryczny, m.",4775,3661,29.23,1070
2007,060302,chełmski,"Białopole, gm.",3452,2695,31.32,844
2007,060303,chełmski,"Chełm, gm.",12632,9839,31.64,3113
2007,060304,chełmski,"Dorohusk, gm.",7296,5681,29.11,1654
2007,060305,chełmski,"Dubienka, gm.",2845,2259,30.15,680
2007,060306,chełmski,"Kamień, gm.",4107,3107,31.48,978
2007,060307,chełmski,"Leśniowice, gm.",4159,3191,37.83,1207
2007,060308,chełmski,"Rejowiec Fabryczny, gm.",4714,3611,29.30,1058
2007,060309,chełmski,"Ruda-Huta, gm.",4920,3821,26.01,993
2007,060310,chełmski,"Sawin, gm.",6031,4636,31.19,1446
2007,060311,chełmski,"Siedliszcze, gm.",7527,5637,25.24,1420
2007,060312,chełmski,"Wierzbica, gm.",5695,4243,36.72,1558
2007,060313,chełmski,"Wojsławice, gm.",4445,3470,33.46,1161
2007,060314,chełmski,"Żmudź, gm.",3595,2659,31.33,833
2007,060401,hrubieszowski,"Hrubieszów, m.",19548,16097,38.76,6236
2007,060402,hrubieszowski,"Dołhobyczów, gm.",6924,5362,33.91,1817
2007,060403,hrubieszowski,"Horodło, gm.",6149,4797,31.81,1526
2007,060404,hrubieszowski,"Hrubieszów, gm.",11418,8701,34.13,2970
2007,060405,hrubieszowski,"Mircze, gm.",8187,6539,34.85,2279
2007,060406,hrubieszowski,"Trzeszczany, gm.",5101,3997,33.78,1350
2007,060407,hrubieszowski,"Uchanie, gm.",5439,4233,35.60,1507
2007,060408,hrubieszowski,"Werbkowice, gm.",10880,8353,36.48,3047
2007,060501,janowski,"Batorz, gm.",3724,2854,45.13,1288
2007,060502,janowski,"Chrzanów, gm.",3350,2582,54.96,1418
2007,060503,janowski,"Dzwola, gm.",6916,5342,44.33,2367
2007,060504,janowski,"Godziszów, gm.",6511,4921,67.04,3294
2007,060505,janowski,"Janów Lubelski, gm.",16720,13001,46.86,6092
2007,060506,janowski,"Modliborzyce, gm.",7570,5859,43.32,2535
2007,060507,janowski,"Potok Wielki, gm.",5235,3817,36.42,1388
2007,060601,krasnostawski,"Krasnystaw, m.",20232,16685,37.48,6252
2007,060602,krasnostawski,"Fajsławice, gm.",5142,4077,40.15,1637
